,product_name,product_price,product_availability,date,store,search_term,product_price_dollar
54,"CHOCOLATE DE LECHE M&M's 47,9 GR",$ 1.58,True,24/08/2022,Gama,leche,1.58
55,LECHE DE ALMENDRAS SIN AZUCAR KIRKLAND 946 ML,$ 3.63,True,24/08/2022,Gama,leche,3.63
56,LECHE EN POLVO SEMIDESCREMADA SAN SIMON 400 GR,$ 5.23,True,24/08/2022,Gama,leche,5.23
57,JABON EN BARRA CON LECHE DE COCO DOVE 90 GR,$ 1.13,True,24/08/2022,Gama,leche,1.13
58,LECHE EN POLVO CON HIERRO LA CAMPESINA 800 GR,$ 10.40,True,24/08/2022,Gama,leche,10.4
59,LECHE COMPLETA EN BOLSA LA CAMPESTRE 900 GR,$ 10.53,True,24/08/2022,Gama,leche,10.53
60,LECHE EN POLVO BOLSA HOLLAND HORIZON 900 GR,$ 11.71,True,24/08/2022,Gama,leche,11.71
61,LECHE EN POLVO DESCREMADA DAIRY SKY 400 GR,$ 4.93,True,24/08/2022,Gama,leche,4.93
62,LECHE DE ALMENDRAS SIN AZÚCAR VILAY 1 LT,$ 4.84,True,24/08/2022,Gama,leche,4.84
63,LECHE DE ALMENDRAS SABOR CHOCOLATE VILAY 1 LT,$ 5.45,True,24/08/2022,Gama,leche,5.45
64,LECHE DE ALMENDRAS SABOR VAINILLA VILAY 1 LT,$ 5.45,True,24/08/2022,Gama,leche,5.45
65,LECHE DE COCO SIN AZÚCAR VILAY 1 LT,$ 5.45,True,24/08/2022,Gama,leche,5.45
66,DONUTS CUBIERTAS CON CHOCOLATE LECHE COSTA 100 GR,$ 1.95,True,24/08/2022,Gama,leche,1.95
67,LECHE DE SOYA EN POLVO SOYA KLIM 500 GR,$ 7.26,True,24/08/2022,Gama,leche,7.26
68,LECHE CONDENSADA AZUCARADA NATULAC 397 GR,$ 2.03,False,24/08/2022,Gama,leche,2.03
69,CREMA DE LECHE SANTA MARÍA 500 GR,$ 5.70,False,24/08/2022,Gama,leche,5.7
70,CREMA DE LECHE PAISA 250 GR,$ 3.14,False,24/08/2022,Gama,leche,3.14
71,CHOCOLATE CON LECHE ANIVERSARIO SAVOY 100 GR,$ 2.61,False,24/08/2022,Gama,leche,2.61
72,LECHE EN POLVO SEMIDESCREMADA SVELTY 400 GR,$ 6.25,False,24/08/2022,Gama,leche,6.25
73,LECHE CONDENSADA AZUCARADA UHT NATULAC 340 GR,$ 1.83,False,24/08/2022,Gama,leche,1.83
74,LECHE COMPLETA UHT SAN SIMON 1 LT,$ 1.88,False,24/08/2022,Gama,leche,1.88
75,LECHE EVAPORADA DI FIORE 400 GR,$ 1.69,False,24/08/2022,Gama,leche,1.69
76,CREMA DE LECHE NESTLE 1 KG,$ 8.02,False,24/08/2022,Gama,leche,8.02
77,LECHE COMPLETA POLVO ZULI MILK 900 GR,$ 12.14,False,24/08/2022,Gama,leche,12.14
78,FRUTOS MIXTOS CUBIERTOS CON CHOCOLATE DE LECHE SIN AZÚCAR ST MORITZ 40 GR,$ 1.00,True,24/08/2022,Gama,leche,1.0
79,CHOCOLATE CON LECHE CON AZUCAR 34% CACAO EL REY 80 GR,$ 4.19,True,24/08/2022,Gama,leche,4.19
80,CHOCOLATE CON LECHE SIN AZUCAR 34% CACAO EL REY 80 GR,$ 4.28,True,24/08/2022,Gama,leche,4.28
81,MANI CUBIERTO CON CHOCOLATE DE LECHE ST MORITZ 40 GR,$ 0.74,False,24/08/2022,Gama,leche,0.74
82,CREMA DE LECHE DE COCINA HOPLA 1 LT,$ 6.59,False,24/08/2022,Gama,leche,6.59
